P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35
2369\,1,1,0,0,5,9,2,3,0,0,0,0,0,0,8,9,5,4,10,6,2,4,4,3,8,4,5,6,2,10,6,9,0,0
2369\,1,2,1,2,6,10,3,4,0,0,1,3,0,0,7,6,6,5,6,5,0,0,2,1,10,5,3,4,3,10,6,10,1,2
2369\,1,2,2,5,6,10,3,5,0,0,1,3,0,0,4,5,6,5,6,6,0,0,2,3,9,5,3,5,3,10,4,10,0,0
2369\,1,1,2,4,5,10,3,3,0,0,0,0,0,0,7,9,5,4,10,6,3,7,4,2,9,4,6,6,1,10,6,10,0,0
2369\,1,1,0,0,4,10,2,4,0,0,0,0,0,0,6,8,5,4,9,6,1,4,2,2,8,4,5,6,3,10,5,10,0,0
2369\,1,1,0,0,5,8,2,2,0,0,0,0,0,0,6,8,5,4,8,6,1,2,0,0,10,4,5,6,1,10,6,10,0,0
2369\,1,3,5,7,5,10,2,3,0,0,0,0,0,0,7,10,6,4,4,3,0,0,3,2,10,4,3,6,3,6,4,9,0,0
2369\,1,2,2,2,4,10,3,5,0,0,1,3,0,0,3,5,7,5,4,6,0,0,2,3,9,5,3,8,3,10,4,10,0,0
2369\,1,2,2,2,6,10,3,5,0,0,2,5,0,0,5,6,6,5,5,5,0,0,2,1,10,5,3,7,3,10,5,10,0,0
2369\,1,1,2,4,6,10,2,3,0,0,1,1,0,0,8,7,6,4,10,6,0,0,5,3,7,4,5,6,3,10,5,9,0,0
2369\,1,1,2,6,5,10,3,5,0,0,0,0,0,0,6,7,7,4,10,6,4,7,2,1,10,6,5,6,2,10,6,10,1,1
2369\,1,2,2,2,4,10,3,5,0,0,1,3,0,0,4,5,6,5,6,6,0,0,0,0,10,5,3,8,3,10,6,10,0,0
2369\,1,1,0,0,4,10,2,4,0,0,0,0,0,0,6,6,5,4,9,6,0,0,0,0,10,4,5,4,3,10,5,10,0,0
